no,time:timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
7738,2017-05-01 01:01:04.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 CARRIER LEVEL NORMAL CHG-DET
7739,2017-05-01 01:01:05.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
7838,2017-05-01 01:01:47.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
8036,2017-05-01 01:03:22.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L741_PULSAR,Substation611 BLKCAR L741_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
8041,2017-05-01 01:03:22.000,ML,TMS,TOCBR,4,Substation424,BLKCAR,L741_PULSAR,Substation424 BLKCAR L741_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
8043,2017-05-01 01:03:22.000,ML,TMS,TOCBR,4,Substation424,BLKCAR,L741_PULSAR,Substation424 BLKCAR L741_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
8045,2017-05-01 01:03:22.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L741_PULSAR,Substation611 BLKCAR L741_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
8047,2017-05-01 01:03:22.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L741_PULSAR,Substation611 BLKCAR L741_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
8257,2017-05-01 01:04:57.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 CARRIER LEVEL LOW CHG-DET
8258,2017-05-01 01:04:57.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 #1 CARRIER LEVL LOW CHG-DET
8264,2017-05-01 01:04:59.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 CARRIER LEVEL NORMAL CHG-DET
8265,2017-05-01 01:04:59.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 #1 CARRIER LEVL NORMAL CHG-DET
8266,2017-05-01 01:05:01.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 CARRIER LEVEL LOW CHG-DET
8267,2017-05-01 01:05:01.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 #1 CARRIER LEVL LOW CHG-DET
8277,2017-05-01 01:05:03.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 CARRIER LEVEL NORMAL CHG-DET
8278,2017-05-01 01:05:03.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,Device678,Substation1027 BLKCAR Device678 #1 CARRIER LEVL NORMAL CHG-DET
8338,2017-05-01 01:05:30.000,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879 LN 564 AMPG UNBALANCED 800.0 CURRENT VALUE 800.0 AMPG HIGH LIMIT VALUE 40.2
8410,2017-05-01 01:06:00.000,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879 LN 564 AMPG NORMAL 2.1 CURRENT VALUE 2.1 AMPG HIGH LIMIT VALUE 40.2
8414,2017-05-01 01:06:01.000,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402 BLKCAR Device793 SIGNAL RECEIVED TRIP ENABLED CHG-DET
8435,2017-05-01 01:06:06.000,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402 BLKCAR Device793 SIGNAL RECEIVED NORMAL CHG-DET
8445,2017-05-01 01:06:08.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device50,Substation687 BLKCAR Device50 SIGNAL RECEIVED NORMAL CHG-DET
8458,2017-05-01 01:06:12.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device349,Substation1303 BLKCAR Device349 SIGNAL RECEIVED NORMAL CHG-DET
8459,2017-05-01 01:06:12.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device50,Substation687 BLKCAR Device50 SIGNAL RECEIVED NORMAL CHG-DET
8464,2017-05-01 01:06:16.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device349,Substation1303 BLKCAR Device349 SIGNAL RECEIVED TRIP ENABLED CHG-DET
8468,2017-05-01 01:06:16.000,ML,TMS,TOCLR,4,Substation1374,BLKCAR,Device312,Substation1374 BLKCAR Device312 SIGNAL RECEIVED NORMAL CHG-DET
8470,2017-05-01 01:06:18.000,ML,TMS,TOCLR,4,Substation1374,BLKCAR,Device312,Substation1374 BLKCAR Device312 SIGNAL RECEIVED NORMAL CHG-DET
8477,2017-05-01 01:06:20.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device349,Substation1303 BLKCAR Device349 SIGNAL RECEIVED NORMAL CHG-DET
8508,2017-05-01 01:06:36.000,ML,TMS,TOCNL,4,Substation281,CAP,R9405,Substation281 CAP R9405 DELAY BLK CLOSE DELAY CHG-DET
8576,2017-05-01 01:07:02.000,ML,TMS,TOCGR,4,Substation1447,BLKCAR,Device527,Substation1447 BLKCAR Device527 CARRIER LEVEL NORMAL CHG-DET
8577,2017-05-01 01:07:02.000,ML,TMS,TOCGR,4,Substation190,BLKCAR,Device391,Substation190 BLKCAR Device391 CARRIER LEVEL NORMAL CHG-DET
